run,n,mean,median
0,14341,0.00047144365889490987,0.0
1,14341,0.0004985576390404566,0.0
2,14341,0.0004938397860205327,0.0
3,14341,0.0005179822936285766,0.0
4,14341,0.0004433588058246235,0.0
5,14341,0.00041591020733935794,0.0
6,14341,0.0003182892046102875,0.0
7,14341,0.0004857662833139842,0.0
8,14341,0.00046173540082029087,0.0
9,14341,0.0005212556165808257,0.0
10,14341,0.0004338610334798276,0.0
11,14341,0.0004336500765772271,0.0
12,14341,0.0002959633250623835,0.0
13,14341,0.0004441176938334301,0.0
14,14341,0.00037046687797754853,0.0
15,14341,0.00045258029958631816,0.0
16,14341,0.00048115197298307576,0.0
17,14341,0.00045664189459512707,0.0
18,14341,0.00040655528601388647,0.0
19,14341,0.00040374622640325576,0.0
20,14341,0.00041670092092758234,0.0
21,14341,0.0002990996224041922,0.0
22,14341,0.00035512720570155107,0.0
23,14341,0.00037021480054164925,0.0
24,14341,0.00035217111053014653,0.0
25,14341,0.000434152089754583,0.0
26,14341,0.00035569689642329455,0.0
27,14341,0.0003476312751522951,0.0
28,14341,0.00037664232540124756,0.0
29,14341,0.000423304193233144,0.0
30,14341,0.0003431637005449385,0.0
31,14341,0.00042953181233346593,0.0
32,14341,0.0004340479605707817,0.0
33,14341,0.00047923612845669446,0.0
34,14341,0.00041540626663700365,0.0
35,14341,0.00040721972529777253,0.0
36,14341,0.00038353528329712145,0.0
37,14341,0.0004475280423961196,0.0
38,14341,0.0005302999493782248,0.0
39,14341,0.0005504936436068095,0.0
40,14341,0.0004128274523586153,0.0
41,14341,0.0005300657336739772,0.0
42,14341,0.00048421312650417844,0.0
43,14341,0.000415859235011623,0.0
44,14341,0.00044979725332587925,0.0
45,14341,0.00041841748902336193,0.0
46,14341,0.0004293219262780867,0.0
47,14341,0.0004518643311341421,0.0
48,14341,0.0005560367771632622,0.0
49,14341,0.00039189324585954175,0.0
50,14341,0.00045806582156226365,0.0
51,14341,0.0004635663353993077,0.0
52,14341,0.0003989244287147439,0.0
53,14341,0.00046403558065169113,0.0
54,14341,0.0004121262615980936,0.0
55,14341,0.00035419321275511375,0.0
56,14341,0.0004035853983302713,0.0
57,14341,0.0004175344684046596,0.0
58,14341,0.0003553433883385916,0.0
59,14341,0.0004944137601311613,0.0
60,14341,0.0003440395250703136,0.0
61,14341,0.00032940117205650457,0.0
62,14341,0.0003932125296362109,0.0
63,14341,0.00027442301903604155,0.0
64,14341,0.00036444176432406505,0.0
65,14341,0.00046780997443574137,0.0
66,14341,0.00044912017804478167,0.0
67,14341,0.00042830941881338207,0.0
68,14341,0.00048736398736819707,0.0
69,14341,0.00031261028762617115,0.0
70,14341,0.00041445929502224394,0.0
71,14341,0.00041414716447417296,0.0
72,14341,0.0004060412793476518,0.0
73,14341,0.00038067213766452754,0.0
74,14341,0.00040000834027216633,0.0
75,14341,0.0004536925671781612,0.0
76,14341,0.00038361912239726455,0.0
77,14341,0.0005045211015482226,0.0
78,14341,0.00036759473722829556,0.0
79,14341,0.0003874462315188346,0.0
80,14341,0.00046268702814927743,0.0
81,14341,0.0004187687269119557,0.0
82,14341,0.0003718152887986375,0.0
83,14341,0.0004383380315427318,0.0
84,14341,0.0004330728899249344,0.0
85,14341,0.0004716067703436617,0.0
86,14341,0.000468611096658957,0.0
87,14341,0.0004575319750175103,0.0
88,14341,0.00045070230374311013,0.0
89,14341,0.00041489375915687874,0.0
90,14341,0.0004172672706059952,0.0
91,14341,0.0004951972347921696,0.0
92,14341,0.00047620747267757306,0.0
93,14341,0.0004651660823005275,0.0
94,14341,0.00042832603836225703,0.0
95,14341,0.0004389318937574464,0.0
96,14341,0.000386249109993174,0.0
97,14341,0.0004193223549253793,0.0
98,14341,0.00042288442112238566,0.0
99,14341,0.00046840228145079917,0.0
